RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
94723,8629,85007,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,401029
73646,8629,35951,Zip,AL,AL,Albertville,Albertville,Marshall County,148586
75488,8629,40033,Zip,KY,KY,Lebanon,,Marion County,127835
73248,8629,34987,Zip,FL,FL,Port Saint Lucie,Port St. Lucie,Saint Lucie County,379929
89931,8633,73106,Zip,OK,OK,Oklahoma City,Oklahoma City,Oklahoma County,209520
100289,8634,99603,Zip,AK,AK,Homer,,Kenai Peninsula Borough,300453
77761,8634,45694,Zip,OH,OH,Wheelersburg,Portsmouth,Scioto County,141732
81724,8636,54487,Zip,WI,WI,Tomahawk,Merrill,Lincoln County,
63875,8637,15065,Zip,PA,PA,Harrison Township,Pittsburgh,Allegheny County,152610
86348,8638,64109,Zip,MO,MO,Kansas City,Kansas City,Jackson County,179951
86336,8638,64089,Zip,MO,MO,Smithville,Kansas City,Clay County,313440
69448,8638,27608,Zip,NC,NC,Raleigh,Raleigh,Wake County,813175
91118,8641,75862,Zip,TX,TX,Trinity,Huntsville,Trinity County,120889
97094,8642,93015,Zip,CA,CA,Fillmore,Oxnard-Thousand Oaks-Ventura,Ventura County,608472
84522,8642,60471,Zip,IL,IL,Richton Park,Chicago-Naperville-Elgin,Cook County,182063
399580,8642,33812,Zip,FL,FL,Lakeland,Lakeland-Winter Haven,Polk County,307042
74786,8642,38358,Zip,TN,TN,Milan,,Gibson County,115282
70647,8646,29669,Zip,SC,SC,West Pelzer,Greenville-Anderson-Mauldin,Anderson County,207561
72200,8646,32766,Zip,FL,FL,Oviedo,Orlando-Kissimmee-Sanford,Seminole County,487582
77329,8648,44811,Zip,OH,OH,Bellevue,Fremont,Sandusky County,133332
69769,8649,28206,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,264479
84539,8649,60503,Zip,IL,IL,Aurora,Chicago-Naperville-Elgin,Kane County,294137
85921,8651,63103,Zip,MO,MO,Saint Louis,St. Louis,Saint Louis City,150947
89916,8652,73089,Zip,OK,OK,Tuttle,Oklahoma City,Grady County,
96798,8653,92314,Zip,CA,CA,Big Bear City,Riverside-San Bernardino-Ontario,San Bernardino County,395344
89377,8654,72110,Zip,AR,AR,Morrilton,,Conway County,103990
60306,8655,6424,Zip,CT,CT,East Hampton,Hartford-West Hartford-East Hartford,Middlesex County,307181
98498,8656,95946,Zip,CA,CA,Penn Valley,Truckee-Grass Valley,Nevada County,532806
71236,8657,30620,Zip,GA,GA,Bethlehem,Atlanta-Sandy Springs-Roswell,Barrow County,283814
79285,8658,48623,Zip,MI,MI,Freeland,Saginaw,Saginaw County,227341
69956,8658,28445,Zip,NC,NC,Surf City,Wilmington,Pender County,421167
58888,8658,2748,Zip,MA,MA,Dartmouth,Providence-Warwick,Bristol County,543738
399584,8661,33974,Zip,FL,FL,Lehigh Acres,Cape Coral-Fort Myers,Lee County,248461
91550,8661,76692,Zip,TX,TX,Whitney,,Hill County,135241
92439,8663,78405,Zip,TX,TX,Corpus Christi,Corpus Christi,Nueces County,72512
87832,8664,68048,Zip,NE,NE,Plattsmouth,Omaha-Council Bluffs,Cass County,
74952,8665,38672,Zip,MS,MS,Southaven,Memphis,DeSoto County,300704
79986,8665,49849,Zip,MI,MI,Ishpeming,Marquette,Marquette County,
65899,8665,19390,Zip,PA,PA,Penn Township,Philadelphia-Camden-Wilmington,Chester County,372831
94570,8665,84501,Zip,UT,UT,Price,Price,Carbon County,225551
62227,8669,11751,Zip,NY,NY,Town of Islip,New York-Newark-Jersey City,Suffolk County,536500
82089,8670,55077,Zip,MN,MN,Inver Grove Heights,Minneapolis-St. Paul-Bloomington,Dakota County,511578
82059,8671,55040,Zip,MN,MN,Isanti,Minneapolis-St. Paul-Bloomington,Isanti County,295191
59372,8672,4105,Zip,ME,ME,Falmouth,Portland-South Portland,Cumberland County,695673
